"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"958","9.7542306432454196E-1","1.4119078415404122E-19","-4.2635514174928815E-26","-1.9856497138960507E-16","3.7995207406110391E-2","-9.0773785252958214E-25","3.0023532538172701E+0","3.3007157249301544E+0","1.8552139490242270E+0","4.8417323179733302E+2","2.528017528540000E-5"
"957","9.7540704271905077E-1","1.4119073413022450E-19","1.6119729177497024E-25","6.8563871665440537E-16","3.8148101891115622E-2","1.8786282012104589E-24","3.0023426897523802E+0","3.3043350112323258E+0","1.8572482200711353E+0","4.8078567814004100E+2","2.528017528540000E-5"
"956","9.7539103165539720E-1","1.4119015184276413E-19","1.5607612103106012E-25","-1.5939851442183670E-16","3.8300279462645880E-2","4.1012863335223656E-24","3.0023321365081999E+0","3.3079746427606458E+0","1.8592939264401052E+0","4.7741925434918801E+2","2.528017528540000E-5"
"955","9.7537503009174298E-1","1.4118930564232388E-19","1.8491064610391440E-26","3.8973990379942343E-16","3.8451739140543124E-2","2.0829337783764268E-24","3.0023215948752999E+0","3.3116344903993333E+0","1.8613509955597851E+0","4.7407410497351202E+2","2.528017528540000E-5"
"954","9.7535903699477766E-1","1.4118880020333534E-19","-1.0720999808302200E-26","-4.2332018913811898E-16","3.8602480068988462E-2","-1.6357572182461205E-26","3.0023110656331200E+0","3.3153144227379254E+0","1.8634193535690668E+0","4.7075036614497600E+2","2.528017528540000E-5"
"953","9.7534305133997057E-1","1.4118881803132799E-19","2.9933877297027907E-25","8.3640359765403139E-16","3.8752501516783645E-2","7.5230506826265257E-24","3.0023005495496302E+0","3.3190143061512867E+0","1.8654989253620531E+0","4.6744816598005002E+2","2.528017528540000E-5"
"952","9.7532707211181668E-1","1.4118917684450153E-19","-5.5065945451124707E-26","-5.2096797859141779E-16","3.8901802877528556E-2","-2.3286695947719565E-24","3.0022900473811398E+0","3.3227340048807492E+0","1.8675896346336651E+0","4.6416762377821101E+2","2.528017528540000E-5"
"951","9.7531109830407692E-1","1.4118962392833735E-19","-7.1107254306802940E-26","-4.6803732576824215E-17","3.9050383669692379E-2","-9.9945343313621162E-25","3.0022795598720502E+0","3.3264733811159903E+0","1.8696914039256620E+0","4.6090885132985602E+2","2.528017528540000E-5"
"950","9.7529512892000492E-1","1.4118960386545461E-19","4.4529533626808742E-26","7.6291796307820541E-16","3.9198243536518712E-2","1.2614517899450850E-24","3.0022690877546299E+0","3.3302322950780368E+0","1.8718041546732949E+0","4.5767195184114701E+2","2.528017528540000E-5"
"949","9.7527916297256956E-1","1.4119030919529412E-19","-5.5784421636571025E-26","-5.0000672759148007E-16","3.9345382245850644E-2","-1.9572979209662867E-24","3.0022586317488398E+0","3.3340106051031091E+0","1.8739278072524337E+0","4.5445702086880499E+2","2.528017528540000E-5"
"948","9.7526319948466689E-1","1.4118984821999035E-19","-7.9538736685702127E-26","1.2359443707429795E-15","3.9491799689821257E-2","-1.6113142470605683E-24","3.0022481925621300E+0","3.3378081677265401E+0","1.8760622810267336E+0","4.5126414590392301E+2","2.528017528540000E-5"
"947","9.7524723748932207E-1","1.4119035701730288E-19","-6.4188872613698702E-26","6.2054990997134513E-16","3.9637495884415543E-2","-7.1428479667504033E-25","3.0022377708892298E+0","3.3416248377677356E+0","1.8782074943953881E+0","4.4809340656874099E+2","2.528017528540000E-5"
"946","9.7523127602988668E-1","1.4118897387707991E-19","-3.9946229234094314E-26","1.7443718071490753E-15","3.9782470968932074E-2","-1.3305234857708899E-24","3.0022273674120301E+0","3.3454604684151694E+0","1.8803633648409033E+0","4.4494487486617697E+2","2.528017528540000E-5"
"945","9.7521531416022167E-1","1.4118954683531621E-19","2.4063037079739312E-26","9.1825699721745113E-16","3.9926725205337903E-2","6.2330809306100688E-25","3.0022169827994301E+0","3.3493149113113709E+0","1.8825298089768647E+0","4.4181861547289401E+2","2.528017528540000E-5"
"944","9.7519935094487353E-1","1.4118883895985552E-19","-2.8890284009703360E-27","2.5561181841837677E-16","4.0070258977481163E-2","1.2562041117513369E-25","3.0022066177071500E+0","3.3531880166384416E+0","1.8847067425960038E+0","4.3871468511390202E+2","2.528017528540000E-5"
"943","9.7518338545924155E-1","1.4119019355225622E-19","-3.6062144667434762E-26","1.3983170651321456E-15","4.0213072790232736E-2","-2.2651152138321275E-24","3.0021962727776601E+0","3.3570796332030635E+0","1.8868940807179782E+0","4.3563313351275298E+2","2.528017528540000E-5"
"942","9.7516741678973540E-1","1.4118932351356114E-19","-3.7957657401134131E-26","5.9421927319399284E-16","4.0355167268513570E-2","-3.9723748858313956E-25","3.0021859486400402E+0","3.3609896085214661E+0","1.8890917376371286E+0","4.3257400300416498E+2","2.528017528540000E-5"
"941","9.7515144403392162E-1","1.4118854595025455E-19","4.2157953995627028E-26","7.3254847982641739E-16","4.0496543156200340E-2","1.5000954837447215E-24","3.0021756459099000E+0","3.3649177889040787E+0","1.8912996269700584E+0","4.2953732861961703E+2","2.528017528540000E-5"
"940","9.7513546630066406E-1","1.4118909433347677E-19","-1.5880437311685715E-27","1.5638877023101554E-15","4.0637201314960139E-2","-4.1532353650586931E-25","3.0021653651892701E+0","3.3688640195396720E+0","1.8935176617029266E+0","4.2652313873863199E+2","2.528017528540000E-5"
"939","9.7511948271025251E-1","1.4118803913254467E-19","2.1437319688465866E-26","1.4178000994367333E-15","4.0777142722978298E-2","3.5523186599840825E-25","3.0021551070665500E+0","3.3728281445790036E+0","1.8957457542384626E+0","4.2353145480134702E+2","2.528017528540000E-5"
"938","9.7510349239451988E-1","1.4118722003146595E-19","-6.9186857863834065E-26","4.8391360879016234E-16","4.0916368473600667E-2","-2.1710513339044649E-24","3.0021448721164501E+0","3.3768100072177738E+0","1.8979838164425931E+0","4.2056229121421501E+2","2.528017528540000E-5"
"937","9.7508749449695620E-1","1.4118724311756715E-19","-2.5453408341750443E-26","1.3256665506125130E-15","4.1054879773877069E-2","1.7480016984806024E-25","3.0021346608999102E+0","3.3808094497787948E+0","1.9002317596906242E+0","4.1761565619406701E+2","2.528017528540000E-5"
"936","9.7507148817280720E-1","1.4118737302112975E-19","-7.1181428561567850E-26","5.8855196825262863E-16","4.1192677943039185E-2","-1.2406628509762797E-24","3.0021244739641100E+0","3.3848263137932779E+0","1.9024894949129330E+0","4.1469155119509799E+2","2.528017528540000E-5"
"935","9.7505547258916803E-1","1.4118568500480965E-19","-3.6440774866013153E-26","1.3019150071972137E-15","4.1329764410888231E-2","-1.3226581607061508E-24","3.0021143118424098E+0","3.3888604400811566E+0","1.9047569326401113E+0","4.1178997156163302E+2","2.528017528540000E-5"
"934","9.7503944692506095E-1","1.4118624209316656E-19","-1.7846919020082533E-28","2.0080277331058969E-15","4.1466140716109857E-2","3.3860145113647441E-25","3.0021041750543702E+0","3.3929116688304179E+0","1.9070339830475580E+0","4.0891090615587802E+2","2.528017528540000E-5"
"933","9.7502341037151463E-1","1.4118638941710023E-19","5.2592090510943259E-26","2.4718519912718613E-15","4.1601808504521907E-2","9.8989917399009673E-25","3.0020940641057301E+0","3.3969798396751112E+0","1.9093205559993223E+0","4.0605433821875698E+2","2.528017528540000E-5"
"932","9.7500736213162564E-1","1.4118632877329445E-19","-3.5634552301187333E-26","2.4668335733261977E-15","4.1736769527250493E-2","-3.2013637194928315E-25","3.0020839794884200E+0","3.4010647917723476E+0","1.9116165610913844E+0","4.0322024471739400E+2","2.528017528540000E-5"
"931","9.7499130142061308E-1","1.4118643255691460E-19","4.7164523918246107E-28","2.4660377908032617E-15","4.1871025638839376E-2","-4.1149582535914796E-25","3.0020739216805898E+0","3.4051663638779210E+0","1.9139219076941578E+0","4.0040859704610602E+2","2.528017528540000E-5"
"930","9.7497522746586507E-1","1.4118689971308912E-19","5.8853781604866615E-26","3.0429557705284895E-15","4.2004578795318021E-2","1.7141812936542251E-24","3.0020638911466500E+0","3.4092843944204372E+0","1.9162365049941554E+0","3.9761936101628800E+2","2.528017528540000E-5"
"929","9.7495913950697977E-1","1.4118721964017163E-19","-3.3125398945573177E-26","2.2844671638416429E-15","4.2137431052192906E-2","-8.2549609595309119E-25","3.0020538883373100E+0","3.4134187215740877E+0","1.9185602620348938E+0","3.9485249689446300E+2","2.528017528540000E-5"
"928","9.7494303679579042E-1","1.4118728588864458E-19","1.9476464078468806E-26","2.9550965815416958E-15","4.2269584562407030E-2","6.8454478108903351E-25","3.0020439136896302E+0","3.4175691833301114E+0","1.9208930877570574E+0","3.9210795982739199E+2","2.528017528540000E-5"
"927","9.7492691859639002E-1","1.4118766383402391E-19","1.8590583158315106E-26","2.8741459028466313E-15","4.2401041574241155E-2","-1.3157268077830885E-25","3.0020339676270700E+0","3.4217356175664366E+0","1.9232348910376431E+0","3.8938569948108102E+2","2.528017528540000E-5"
"926","9.7491078418514221E-1","1.4118752903845981E-19","1.4767375601059961E-25","2.9742014709301532E-15","4.2531804429182439E-2","3.7607966343261459E-24","3.0020240505596001E+0","3.4259178621157416E+0","1.9255855807282147E+0","3.8668566077129998E+2","2.528017528540000E-5"
"925","9.7489463285068623E-1","1.4118708674992052E-19","-1.9085517941276488E-25","3.4152563686785602E-15","4.2661875559737480E-2","-4.4142843703793330E-24","3.0020141628837500E+0","3.4301157548321375E+0","1.9279450656923827E+0","3.8400778370400002E+2","2.528017528540000E-5"
"924","9.7487846389393507E-1","1.4118806276852466E-19","6.4539029987359160E-27","1.5908082405615075E-15","4.2791257487246527E-2","-5.6502391452905245E-26","3.0020043049827301E+0","3.4343291336559028E+0","1.9303132548421884E+0","3.8135200355125602E+2","2.528017528540000E-5"
"923","9.7486227662806468E-1","1.4118886902184307E-19","1.1111025208943767E-25","3.2729738777873514E-15","4.2919952819615297E-2","2.8798674215671679E-24","3.0019944772264799E+0","3.4385578366766416E+0","1.9326900571736045E+0","3.7871825107220400E+2","2.528017528540000E-5"
"922","9.7484607037849469E-1","1.4118934445326167E-19","1.6050906844917443E-26","3.3874638174857095E-15","4.3047964249079508E-2","4.4572066767683957E-25","3.0019846799718501E+0","3.4428017021945134E+0","1.9350753818009487E+0","3.7610645246631600E+2","2.528017528540000E-5"
"921","9.7482984448286591E-1","1.4118954295935359E-19","1.4532665209020880E-25","3.3192057161182085E-15","4.3175294549901606E-2","4.0019364347098457E-24","3.0019749135626501E+0","3.4470605687799467E+0","1.9374691379904481E+0","3.7351652984042101E+2","2.528017528540000E-5"
"920","9.7481359829100434E-1","1.4119020430359306E-19","1.6973277137965639E-26","3.3144135379599070E-15","4.3301946576064294E-2","1.3947793782474582E-25","3.0019651783298000E+0","3.4513342753314582E+0","1.9398712351927352E+0","3.7094840114159302E+2","2.528017528540000E-5"
"919","9.7479733116488565E-1","1.4119064988836877E-19","1.3877997769304384E-25","3.4564347680427209E-15","4.3427923258955954E-2","3.3579316507762133E-24","3.0019554745914800E+0","3.4556226611315228E+0","1.9422815830742530E+0","3.6840198032828300E+2","2.528017528540000E-5"
"918","9.7478104247858888E-1","1.4119114555323665E-19","-1.3311355729873644E-25","4.1550812508719290E-15","4.3553227605035980E-2","-3.1714651900020106E-24","3.0019458026532302E+0","3.4599255659008312E+0","1.9447000915477484E+0","3.6587717751068402E+2","2.528017528540000E-5"
"917","9.7476473161824362E-1","1.4119175131423298E-19","-1.2099142969452122E-27","3.8995005772493977E-15","4.3677862693491484E-2","-3.6807396622961804E-25","3.0019361628080898E+0","3.4642428298505701E+0","1.9471266708016601E+0","3.6337389908071299E+2","2.528017528540000E-5"
"916","9.7474839798197166E-1","1.4119084902680931E-19","9.5518353030945702E-27","3.7483536258633377E-15","4.3801831673892108E-2","3.0748953000696211E-25","3.0019265553368100E+0","3.4685742937329938E+0","1.9495612313285400E+0","3.6089204796225999E+2","2.528017528540000E-5"
"915","9.7473204097982491E-1","1.4119072954800027E-19","-1.2627096750312418E-25","3.4784603911678763E-15","4.3925137763851173E-2","-3.3589287361973771E-24","3.0019169805079100E+0","3.4729197988899250E+0","1.9520036839523163E+0","3.5843152366357401E+2","2.528017528540000E-5"
"914","9.7471566003371413E-1","1.4119103877155790E-19","2.0333589182373369E-26","5.3055101143296565E-15","4.4047784246662003E-2","4.6102760007408068E-25","3.0019074385779199E+0","3.4772791872998425E+0","1.9544539398547585E+0","3.5599222245890599E+2","2.528017528540000E-5"
"913","9.7469925457733475E-1","1.4119139118064418E-19","-1.3504479924379052E-26","4.6730274207108053E-15","4.4169774468980322E-2","-1.8157616622382226E-25","3.0018979297914998E+0","3.4816523016226193E+0","1.9569119106006228E+0","3.5357403734960599E+2","2.528017528540000E-5"
